actor_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Forest Whitaker,https://en.wikipedia.org/wiki/Forest_Whitaker,1,The Last King of Scotland,1,1,0,1,1,1,1,R,7.7,74,123,2006,3.9,7.3,Fox Searchlight,17606684,Drama,48363516
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,0,Blood Diamond,0,0,0,0,0,0,0,A,8,64,143,2006,4,6.3,Warner Bros.,57377916,Thriller,171720398
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,0,Half Nelson,0,0,0,0,0,0,0,R,7.2,85,106,2006,3.9,7.6,ThinkFilm,2697938,Drama,4660481
Peter O'Toole,https://en.wikipedia.org/wiki/Peter_O%27Toole,0,Venus,0,0,0,0,0,0,0,R,7.1,82,95,2006,3.6,7.3,Miramax,3347411,Drama,7261490
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,0,The Pursuit of Happyness,0,0,0,0,0,0,0,PG-13,8,64,117,2006,4,6.4,Sony / Columbia,163566459,Drama,307077295
Daniel Day-Lewis,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,1,There Will Be Blood,1,1,0,1,1,0,0,R,8.1,93,158,2007,4,8.4,Paramount Vantage,40222514,Drama,76181545
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,0,Michael Clayton,0,0,0,0,0,0,1,A,7.3,82,119,2007,3.5,7.6,Warner Bros.,49033882,Thriller,92991835
Johnny Depp,https://en.wikipedia.org/wiki/Johnny_Depp,0,Sweeney Todd: The Demon Barber of Fleet Street,0,0,1,0,0,0,0,R,7.4,83,116,2007,3.9,7.7,Paramount (DreamWorks),52898073,Musical,152523164
Tommy Lee Jones,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,0,In the Valley of Elah,0,0,0,0,0,0,0,R,7.2,65,121,2007,3.8,7,Warner Independent,6777741,War,29541790
Viggo Mortensen,https://en.wikipedia.org/wiki/Viggo_Mortensen,0,Eastern Promises,0,0,0,0,0,1,0,R,7.7,82,100,2007,3.9,7.7,Focus Features,17266000,Thriller,56106607
