movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Manchester by the Sea,https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film),0,0,0,0,0,0,0,0,0,0,R,7.9,96,137,2016,4,8.8,Roadside Attractions,47695371,Drama,77540122
Call Me by Your Name,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film),0,0,0,0,0,0,0,0,1,0,R,8.2,93,132,2017,4.3,8.7,Sony Classics,15240910,Drama,27680888
Darkest Hour,https://en.wikipedia.org/wiki/Darkest_Hour_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.4,75,125,2017,4,7.4,Focus Features,53719842,Drama,134919842
Dunkirk,https://en.wikipedia.org/wiki/Dunkirk_(2017_film),0,0,0,0,0,0,0,0,0,0,PG-13,8,94,106,2017,4,8.6,Warner Bros.,188373161,War,525573161
Get Out,https://en.wikipedia.org/wiki/Get_Out,0,0,0,0,0,0,0,0,0,1,R,7.7,84,104,2017,4.2,8.3,Universal,176040665,Horror,255017329
Lady Bird,https://en.wikipedia.org/wiki/Lady_Bird_(film),0,0,0,0,0,0,1,0,0,0,R,7.7,94,94,2017,4,8.7,A24,46632130,Comedy,52232130
Phantom Thread,https://en.wikipedia.org/wiki/Phantom_Thread,0,0,0,0,0,0,0,0,0,0,R,7.9,90,130,2017,3.8,8.5,Focus Features,18152094,Drama,32252094
The Post,https://en.wikipedia.org/wiki/The_Post_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.3,83,116,2017,3.8,7.9,Fox,77963001,Drama,135963001
The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water_(film),0,1,0,0,1,1,0,0,0,0,R,7.8,87,123,2017,3.9,8.4,Fox Searchlight,54480844,Fantasy,95762358
"Three Billboards Outside Ebbing, Missouri","https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri",0,0,1,1,0,0,0,1,0,0,R,8.3,88,115,2017,4.2,8.5,Fox Searchlight,49189579,Crime,114644508
