director_name,href,oscar,movie_name,golden_globe,bafta,critics_choice,dga,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Ang Lee,https://en.wikipedia.org/wiki/Ang_Lee,1,Brokeback Mountain,1,1,1,1,1,1,A,7.7,87,134,2005,3.5,8.2,Focus Features,83043761,Western,178062759
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,0,"Good Night, and Good Luck",0,0,0,0,0,0,PG,7.5,80,93,2005,3.6,8.1,Warner Independent,31558003,Period,54641191
Paul Haggis,https://en.wikipedia.org/wiki/Paul_Haggis,0,Crash,0,0,0,0,0,0,A,7.8,69,112,2004,3.9,7.3,Lions Gate,54580300,Drama,98410061
Bennett Miller,https://en.wikipedia.org/wiki/Bennett_Miller,0,Capote,0,0,0,0,0,0,R,7.4,88,114,2005,3.6,8.2,Sony Classics,28750530,Drama,49233161
Steven Spielberg,https://en.wikipedia.org/wiki/Steven_Spielberg,0,Munich,0,0,0,0,0,0,A,7.6,74,164,2005,3.6,7.4,Universal,47403685,Thriller,130358911
Martin Scorsese,https://en.wikipedia.org/wiki/Martin_Scorsese,1,The Departed,1,0,1,1,0,1,A,8.5,85,151,2006,4.2,8.2,Warner Bros.,132384315,Crime,291465034
Clint Eastwood,https://en.wikipedia.org/wiki/Clint_Eastwood,0,Letters from Iwo Jima,0,0,0,0,1,0,R,7.9,89,141,2006,3.9,8.2,Warner Bros.,13756082,War,68673228
Stephen Frears,https://en.wikipedia.org/wiki/Stephen_Frears,0,The Queen,0,0,0,0,0,0,PG-13,7.3,91,162,2006,3.5,8.4,Miramax,56441711,Drama,123384128
Paul Greengrass,https://en.wikipedia.org/wiki/Paul_Greengrass,0,United 93,0,1,0,0,0,0,R,7.6,90,111,2006,3.6,8.2,Universal,31483450,Thriller,76286096
Alejandro G. Inarritu,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,0,Babel,0,0,0,0,0,0,R,7.5,69,143,2006,3.5,6.7,Paramount Vantage,34302837,Drama,135330182
Joel Cohen and Ethan Cohen,https://en.wikipedia.org/wiki/Coen_brothers,1,No Country for Old Men,0,0,0,1,0,0,R,8.1,91,122,2007,4,8.7,Miramax,74283625,Crime,171627166
Paul Thomas Anderson,https://en.wikipedia.org/wiki/Paul_Thomas_Anderson,0,There Will Be Blood,0,0,0,0,0,0,R,8.1,93,158,2007,4,8.4,Paramount Vantage,40222514,Drama,76181545
Tony Gilroy,https://en.wikipedia.org/wiki/Tony_Gilroy,0,Michael Clayton,0,0,0,0,0,0,A,7.3,82,119,2007,3.5,7.6,Warner Bros.,49033882,Thriller,92991835
Jason Reitman,https://en.wikipedia.org/wiki/Jason_Reitman,0,Juno,0,0,0,0,0,0,PG-13,7.5,81,96,2007,4.2,8.1,Fox Searchlight,143495265,Comedy,231411584
Julian Schnabel,https://en.wikipedia.org/wiki/Julian_Schnabel,0,The Diving Bell and the Butterfly,1,0,0,0,0,0,PG-13,8,92,112,2007,4,8.2,Miramax,6003227,Drama,19777647
Danny Boyle,https://en.wikipedia.org/wiki/Danny_Boyle,1,Slumdog Millionaire,1,1,1,1,1,0,R,8,86,120,2008,4,8.4,Fox Searchlight,141319928,Drama,377910544
Stephen Daldry,https://en.wikipedia.org/wiki/Stephen_Daldry,0,The Reader,0,0,0,0,0,0,R,7.6,58,124,2008,3.8,6.4,Weinstein Company,34194407,Period,108901967
