actor_name,href,oscar,movie_name,sag,golden_globe,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Robin Williams,https://en.wikipedia.org/wiki/Robin_Williams,1,Good Will Hunting,1,0,0,0,0,0,R,8.3,70,126,1997,3.9,8.1,Miramax,138433435,Drama,225933435
Robert Forster,https://en.wikipedia.org/wiki/Robert_Forster,0,Jackie Brown,0,0,0,0,0,0,R,7.5,64,154,1997,3.5,7.4,Miramax,39673162,Crime,39673162
Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins,0,Amistad,0,0,0,1,0,0,R,7.3,63,155,1997,3.5,6.9,DreamWorks,44229441,Period,44229441
Greg Kinnear,https://en.wikipedia.org/wiki/Greg_Kinnear,0,As Good as It Gets,0,0,0,0,0,1,PG-13,7.7,67,139,1997,3.5,7.2,Sony / Columbia,148478011,Romance,314178011
Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds,0,Boogie Nights,0,1,0,0,1,0,R,7.9,85,155,1997,3.6,8.1,New Line,26400640,Drama,43101594
James Coburn,https://en.wikipedia.org/wiki/James_Coburn,1,Affliction,0,0,0,0,0,0,R,7,79,114,1997,3.5,7.7,Lions Gate,6330054,Drama,6330054
Robert Duvall,https://en.wikipedia.org/wiki/Robert_Duvall,0,A Civil Action,1,0,0,0,0,0,PG-13,6.5,68,115,1998,3.1,6.4,Buena Vista,56709981,Thriller,56709981
Ed Harris,https://en.wikipedia.org/wiki/Ed_Harris,0,The Truman Show,0,1,0,0,0,1,PG,8.1,90,103,1998,3.5,8.4,Paramount,125618201,Comedy,264118201
Geoffrey Rush,https://en.wikipedia.org/wiki/Geoffrey_Rush,0,Shakespeare in Love,0,0,0,0,0,0,R,7.2,87,123,1998,3.5,8.3,Miramax,100317794,Period,289317794
Billy Bob Thornton,https://en.wikipedia.org/wiki/Billy_Bob_Thornton,0,A Simple Plan,0,0,0,1,0,0,R,7.5,82,121,1998,3.5,8.2,Paramount,16316273,Crime,16316273
Michael Caine,https://en.wikipedia.org/wiki/Michael_Caine,1,The Cider House Rules,1,0,0,0,0,0,PG-13,7.4,75,126,1999,3.5,6.6,Miramax,57545092,Period,88545092
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,0,Magnolia,0,1,0,0,0,0,R,8,77,188,1999,3.8,7.5,New Line,22455976,Drama,48451803
Michael Clarke Duncan,https://en.wikipedia.org/wiki/Michael_Clarke_Duncan,0,The Green Mile,0,0,0,1,0,0,A,8.5,61,189,1999,4.2,6.9,Warner Bros.,136801374,Period,286801374
Jude Law,https://en.wikipedia.org/wiki/Jude_Law,0,The Talented Mr. Ripley,0,0,1,0,0,0,R,7.4,76,139,1999,3.5,7.3,Paramount,81298265,Thriller,128798265
Haley Joel Osment,https://en.wikipedia.org/wiki/Haley_Joel_Osment,0,The Sixth Sense,0,0,0,0,0,0,PG-13,8.1,64,107,1999,3.9,7.6,Buena Vista,293506292,Horror,672806292
Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,1,Traffic,0,1,1,0,0,0,R,7.6,86,147,2000,3.6,8.1,USA Films,124115725,Crime,207515725
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,0,The Contender,0,0,0,0,0,0,R,7,59,126,2000,3.5,6.7,DreamWorks,17872723,Thriller,22361811
Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,0,Shadow of the Vampire,0,0,0,0,1,0,R,6.9,71,92,2000,3.5,7,Lions Gate,8293784,Horror,11155214
Albert Finney,https://en.wikipedia.org/wiki/Albert_Finney,0,Erin Brockovich,1,0,0,0,0,0,R,7.3,73,131,2000,3.5,7.3,Universal,125595205,Drama,256271286
Joaquin Phoenix,https://en.wikipedia.org/wiki/Joaquin_Phoenix,0,Gladiator,0,0,0,1,0,1,R,8.5,67,155,2000,3.9,7.2,DreamWorks,187705427,Drama,457640427
Jim Broadbent,https://en.wikipedia.org/wiki/Jim_Broadbent,1,Iris,0,1,0,0,0,1,R,7.1,76,91,2001,3.6,7.1,Miramax,5594617,Period,16153953
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,0,Training Day,0,0,0,0,0,0,R,7.7,69,122,2001,3.8,6.5,Warner Bros.,76631907,Crime,104876233
Ben Kingsley,https://en.wikipedia.org/wiki/Ben_Kingsley,0,Sexy Beast,0,0,0,1,1,0,R,7.3,79,89,2000,3.8,7.2,Fox Searchlight,6946056,Crime,10045677
Ian McKellen,https://en.wikipedia.org/wiki/Ian_McKellen,0,The Lord of the Rings: The Fellowship of the Ring,1,0,0,0,0,0,PG-13,8.8,92,178,2001,4.2,8.2,New Line,315544750,Fantasy,871530324
Jon Voight,https://en.wikipedia.org/wiki/Jon_Voight,0,Ali,0,0,0,0,0,0,R,6.8,6.5,157,2001,3.4,6.3,Sony / Columbia,58203105,Sports,87713825
