actress_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Kate Winslet,https://en.wikipedia.org/wiki/Kate_Winslet,0,Titanic,0,0,0,0,0,0,0,UA,7.8,75,194,1997,3.4,8,Paramount,659363944,Romance,2187463944
Gwyneth Paltrow,https://en.wikipedia.org/wiki/Gwyneth_Paltrow,1,Shakespeare in Love,1,0,1,0,0,0,0,R,7.2,87,123,1998,3.5,8.3,Miramax,100317794,Period,289317794
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,0,Elizabeth,0,1,0,1,1,1,0,R,7.5,75,124,1998,3.9,7.3,Gramercy,30082699,Period,82150642
Fernanda Montenegro,https://en.wikipedia.org/wiki/Fernanda_Montenegro,0,Central Station,0,0,0,0,0,0,0,R,8,80,113,1998,4.2,7.9,Sony Classics,5596708,Foreign,5596708
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,One True Thing,0,0,0,0,0,0,0,R,7,63,127,1998,3.5,7.2,Universal,23245840,Drama,26616840
Emily Watson,https://en.wikipedia.org/wiki/Emily_Watson,0,Hilary and Jackie,0,0,0,0,0,0,0,R,7.4,78,121,1998,3.8,7.5,October,4912892,Musical,4912892
Hilary Swank,https://en.wikipedia.org/wiki/Hilary_Swank,1,Boys Don't Cry,0,1,0,0,1,1,0,R,7.6,86,118,1999,3.8,7.9,Fox Searchlight,11540607,Drama,11540607
Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,0,American Beauty,1,0,0,1,0,0,0,A,8.4,86,122,1999,3.9,8.2,DreamWorks,130096601,Drama,356296601
Janet McTeer,https://en.wikipedia.org/wiki/Janet_McTeer,0,Tumbleweeds,0,0,1,0,0,1,1,PG-13,6.7,75,102,1999,3.5,7,Fine Line,1350248,Comedy,1350248
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,0,The End of the Affair,0,0,0,0,0,0,0,R,7.1,65,102,1999,3.6,6.6,Sony / Columbia,10827816,Romance,10827816
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,Music of the Heart,0,0,0,0,0,0,0,PG,6.8,54,124,1999,3.5,6.5,Miramax,14859394,Musical,14859394
Julia Roberts ,https://en.wikipedia.org/wiki/Julia_Roberts,1,Erin Brockovich,1,1,0,1,1,0,0,R,7.3,73,131,2000,3.5,7.3,Universal,125595205,Drama,256271286
Joan Allen,https://en.wikipedia.org/wiki/Joan_Allen,0,The Contender,0,0,0,0,0,0,0,R,7,59,126,2000,3.5,6.7,DreamWorks,17872723,Thriller,22361811
Juliette Binoche,https://en.wikipedia.org/wiki/Juliette_Binoche,0,Chocolat,0,0,0,0,0,0,0,PG-13,7.3,64,121,2000,3.6,6,Miramax,71509363,Romance,152699946
Ellen Burstyn,https://en.wikipedia.org/wiki/Ellen_Burstyn,0,Requiem for a Dream,0,0,0,0,0,1,0,R,8.3,68,102,2000,4.2,7.4,Artisan,3635482,Drama,7390108
Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,0,You Can Count On Me,0,0,0,0,0,0,0,R,7.7,85,111,2000,3.9,8.1,Paramount Classics,9183362,Drama,11009079
Halle Berry,https://en.wikipedia.org/wiki/Halle_Berry,1,Monster's Ball,1,0,0,0,0,0,1,R,7.1,69,111,2001,3.4,7.3,Lions Gate,31273922,Drama,44909486
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,0,Iris,0,0,0,1,0,0,0,R,7.1,76,91,2001,3.6,7.1,Miramax,5594617,Period,16153953
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,0,Moulin Rouge!,0,0,1,0,0,1,0,PG-13,7.6,66,127,2001,3.8,7.1,Fox,57386607,Musical,179213434
Sissy Spacek,https://en.wikipedia.org/wiki/Sissy_Spacek,0,In the Bedroom,0,1,0,0,1,1,0,R,7.5,86,130,2001,3.8,7.9,Miramax,35930604,Drama,43368779
Renee Zellweger,https://en.wikipedia.org/wiki/Renee_Zellweger,0,Bridget Jones's Diary,0,0,0,0,0,0,0,R,6.7,66,97,2001,3.4,6.9,Miramax,71543427,Romance,281929795
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,1,The Hours,0,1,0,1,0,0,0,PG-13,7.6,80,110,2002,3.8,7.4,Paramount,41675994,Drama,108846072
Salma Hayek,https://en.wikipedia.org/wiki/Salma_Hayek,0,Frida,0,0,0,0,0,0,0,R,7.4,61,123,2002,3.8,6.9,Miramax,25885000,Period,56298474
Diane Lane,https://en.wikipedia.org/wiki/Diane_Lane,0,Unfaithful,0,0,0,0,0,1,0,R,6.7,63,124,2002,3.4,5.7,Fox,52775765,Romance,119137784
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,0,Far from Heaven,0,0,0,0,1,0,1,PG-13,7.4,84,107,2002,3.6,8.1,Focus Features,15901849,Period,29027914
Renee Zellweger,https://en.wikipedia.org/wiki/Renee_Zellweger,0,Chicago,1,0,0,0,0,0,0,PG-13,7.2,82,113,2002,3.5,8,Miramax,170687518,Musical,306776732
Charlize Theron,https://en.wikipedia.org/wiki/Charlize_Theron,1,Monster,1,1,0,0,1,1,0,R,7.3,74,109,2003,3.5,7.2,Newmarket,34469210,Thriller,60378584
Keisha Castle-Hughes,https://en.wikipedia.org/wiki/Keisha_Castle-Hughes,0,Whale Rider,0,0,0,0,0,0,0,PG-13,7.6,80,101,2002,3.9,7.8,Newmarket,20779666,Drama,20779666
Diane Keaton,https://en.wikipedia.org/wiki/Diane_Keaton,0,Something's Gotta Give,0,0,1,0,0,1,1,PG-13,6.7,66,128,2003,3.2,6.6,Sony / Columbia,124728738,Romance,266728738
Samantha Morton,https://en.wikipedia.org/wiki/Samantha_Morton,0,In America,0,0,0,0,0,0,0,PG-13,7.8,76,105,2002,3.9,7.7,Fox Searchlight,15539656,Drama,25382911
Naomi Watts,https://en.wikipedia.org/wiki/Naomi_Watts,0,21 Grams,0,0,0,0,0,0,0,R,7.7,70,124,2003,3.6,7.5,Focus Features,16290476,Drama,60427839
Hilary Swank,https://en.wikipedia.org/wiki/Hilary_Swank,1,Million Dollar Baby,1,1,0,0,1,1,0,UA,8.1,86,132,2004,3.9,8.4,Warner Bros.,100492203,Sports,216763646
